episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
167,1.1060211658477783,33,1.0,1.1060211658477783,33,-1.0,1.0,0.0
168,1.7688159942626953,53,1.0,1.7688159942626953,53,-1.0,1.0,1.0
169,1.7687015533447266,53,1.0,1.7687015533447266,53,-1.0,1.0,1.0
170,1.4103307723999023,42,-1.0,1.4103307723999023,42,1.0,1.0,1.0
171,1.4627439975738525,44,1.0,1.4627439975738525,44,-1.0,1.0,1.0
172,1.0948479175567627,33,1.0,1.0948479175567627,33,-1.0,1.0,0.0
173,1.1039326190948486,33,1.0,1.1039326190948486,33,-1.0,1.0,0.0
174,1.104032039642334,33,1.0,1.104032039642334,33,-1.0,1.0,0.0
175,2.330590009689331,70,-1.0,2.330590009689331,70,1.0,1.0,2.0
176,1.105318546295166,33,1.0,1.105318546295166,33,-1.0,1.0,0.0
177,2.636564254760742,79,1.0,2.636564254760742,79,-1.0,1.0,1.0
178,1.1070201396942139,33,-1.0,1.1070201396942139,33,1.0,0.0,1.0
179,1.766782522201538,53,1.0,1.766782522201538,53,-1.0,1.0,1.0
180,1.7674636840820312,53,-1.0,1.7674636840820312,53,1.0,1.0,1.0
181,1.0867047309875488,33,-1.0,1.0867047309875488,33,1.0,0.0,1.0
182,1.1047191619873047,33,-1.0,1.1047191619873047,33,1.0,0.0,1.0
183,1.1043672561645508,33,1.0,1.1043672561645508,33,-1.0,1.0,0.0
184,1.7682304382324219,53,1.0,1.7682304382324219,53,-1.0,1.0,1.0
185,1.7555391788482666,53,1.0,1.7555391788482666,53,-1.0,1.0,1.0
186,1.1069176197052002,33,1.0,1.1069176197052002,33,-1.0,1.0,0.0
187,1.1056418418884277,33,1.0,1.1056418418884277,33,-1.0,1.0,0.0
188,1.6983444690704346,51,1.0,1.6983444690704346,51,-1.0,1.0,1.0
189,1.7658710479736328,53,1.0,1.7658710479736328,53,-1.0,1.0,1.0
190,1.0878727436065674,33,-1.0,1.0878727436065674,33,1.0,0.0,1.0
191,1.1090583801269531,33,1.0,1.1090583801269531,33,-1.0,1.0,0.0
192,1.766160011291504,53,1.0,1.766160011291504,53,-1.0,1.0,1.0
193,1.7667763233184814,53,1.0,1.7667763233184814,53,-1.0,1.0,1.0
194,1.085782527923584,33,-1.0,1.085782527923584,33,1.0,0.0,1.0
195,0.40730738639831543,12,-1.0,0.40730738639831543,12,1.0,0.0,0.0
196,1.090453863143921,33,-1.0,1.090453863143921,33,1.0,0.0,1.0
197,1.7745490074157715,53,1.0,1.7745490074157715,53,-1.0,1.0,1.0
198,1.1030073165893555,33,1.0,1.1030073165893555,33,-1.0,1.0,0.0
199,1.088069200515747,33,1.0,1.088069200515747,33,-1.0,1.0,0.0
200,1.1043813228607178,33,1.0,1.1043813228607178,33,-1.0,1.0,0.0
201,1.0910074710845947,33,1.0,1.0910074710845947,33,-1.0,1.0,0.0
202,1.7727117538452148,53,1.0,1.7727117538452148,53,-1.0,1.0,1.0
203,1.767510175704956,53,1.0,1.767510175704956,53,-1.0,1.0,1.0
204,1.106773853302002,33,1.0,1.106773853302002,33,-1.0,1.0,0.0
205,1.1076469421386719,33,1.0,1.1076469421386719,33,-1.0,1.0,0.0
206,1.7733654975891113,53,-1.0,1.7733654975891113,53,1.0,1.0,1.0
207,1.752434492111206,53,-1.0,1.752434492111206,53,1.0,1.0,1.0
208,1.7683990001678467,53,1.0,1.7683990001678467,53,-1.0,1.0,1.0
209,1.769639492034912,53,-1.0,1.769639492034912,53,1.0,1.0,1.0
210,1.772127628326416,53,1.0,1.772127628326416,53,-1.0,1.0,1.0
211,0.4103870391845703,12,-1.0,0.4103870391845703,12,1.0,0.0,0.0
212,0.38890933990478516,12,-1.0,0.38890933990478516,12,1.0,0.0,0.0
213,1.1063992977142334,33,-1.0,1.1073665618896484,33,1.0,0.0,1.0
214,1.769843578338623,53,1.0,1.769843578338623,53,-1.0,1.0,1.0
215,1.7541000843048096,53,1.0,1.7541000843048096,53,-1.0,1.0,1.0
216,1.7707769870758057,53,1.0,1.7707769870758057,53,-1.0,1.0,1.0
217,1.772794246673584,53,1.0,1.772794246673584,53,-1.0,1.0,1.0
218,1.0860188007354736,33,1.0,1.0860188007354736,33,-1.0,1.0,0.0
219,1.104236364364624,33,1.0,1.104236364364624,33,-1.0,1.0,0.0
220,1.7747235298156738,53,1.0,1.7747235298156738,53,-1.0,1.0,1.0
221,1.7556850910186768,53,1.0,1.7556850910186768,53,-1.0,1.0,1.0
222,1.7702579498291016,53,1.0,1.7702579498291016,53,-1.0,1.0,1.0
223,1.1056900024414062,33,1.0,1.1056900024414062,33,-1.0,1.0,0.0
224,1.7546443939208984,53,1.0,1.7546443939208984,53,-1.0,1.0,1.0
225,1.7668113708496094,53,-1.0,1.7668113708496094,53,1.0,1.0,1.0
226,1.7683212757110596,53,-1.0,1.7683212757110596,53,1.0,1.0,1.0
227,1.7674930095672607,53,1.0,1.7674930095672607,53,-1.0,1.0,1.0
228,1.768758773803711,53,1.0,1.768758773803711,53,-1.0,1.0,1.0
229,1.7659482955932617,53,-1.0,1.7659482955932617,53,1.0,1.0,1.0
230,1.1041748523712158,33,1.0,1.1041748523712158,33,-1.0,1.0,0.0
231,1.103834867477417,33,1.0,1.103834867477417,33,-1.0,1.0,0.0
232,1.0892624855041504,33,1.0,1.0892624855041504,33,-1.0,1.0,0.0
233,1.0704045295715332,32,1.0,1.0704045295715332,32,-1.0,1.0,0.0
234,1.7672364711761475,53,1.0,1.7672364711761475,53,-1.0,1.0,1.0
235,0.39205503463745117,12,-1.0,0.39205503463745117,12,1.0,0.0,0.0
236,1.774712085723877,53,1.0,1.774712085723877,53,-1.0,1.0,1.0
237,1.1047298908233643,33,1.0,1.1047298908233643,33,-1.0,1.0,0.0
238,1.089080572128296,33,1.0,1.089080572128296,33,-1.0,1.0,0.0
239,2.4692368507385254,74,-1.0,2.4692368507385254,74,1.0,1.0,2.0
240,1.1059470176696777,33,1.0,1.1059470176696777,33,-1.0,1.0,0.0
241,1.7669641971588135,53,-1.0,1.7669641971588135,53,1.0,1.0,1.0
242,1.7599945068359375,53,-1.0,1.7599945068359375,53,1.0,1.0,1.0
243,1.7598371505737305,53,1.0,1.7598371505737305,53,-1.0,1.0,1.0
244,1.7662010192871094,53,1.0,1.7662010192871094,53,-1.0,1.0,1.0
245,1.1096999645233154,33,-1.0,1.1096999645233154,33,1.0,0.0,1.0
246,1.0959985256195068,33,-1.0,1.0959985256195068,33,1.0,0.0,1.0
247,2.6376986503601074,79,1.0,2.6376986503601074,79,-1.0,1.0,1.0
248,5.357680797576904,161,1.0,5.357680797576904,161,-1.0,1.0,1.0
249,1.7702102661132812,53,-1.0,1.7702102661132812,53,1.0,1.0,1.0
250,1.7677955627441406,53,1.0,1.7677955627441406,53,-1.0,1.0,1.0
251,1.1044743061065674,33,-1.0,1.1044743061065674,33,1.0,0.0,1.0
252,1.7666707038879395,53,1.0,1.7666707038879395,53,-1.0,1.0,1.0
253,1.0924923419952393,33,-1.0,1.0934715270996094,33,1.0,0.0,1.0
254,1.7684638500213623,53,1.0,1.7684638500213623,53,-1.0,1.0,1.0
255,1.0898082256317139,33,1.0,1.0898082256317139,33,-1.0,1.0,0.0
256,1.1061441898345947,33,1.0,1.1061441898345947,33,-1.0,1.0,0.0
257,1.7719693183898926,53,1.0,1.7719693183898926,53,-1.0,1.0,1.0
258,1.7509398460388184,53,-1.0,1.7509398460388184,53,1.0,1.0,1.0
259,1.769273281097412,53,1.0,1.769273281097412,53,-1.0,1.0,1.0
260,4.029592514038086,121,1.0,4.029592514038086,121,-1.0,1.0,1.0
261,1.7685225009918213,53,1.0,1.7685225009918213,53,-1.0,1.0,1.0
262,1.7692272663116455,53,1.0,1.7692272663116455,53,-1.0,1.0,1.0
263,1.766700029373169,53,1.0,1.766700029373169,53,-1.0,1.0,1.0
264,1.7678890228271484,53,1.0,1.7678890228271484,53,-1.0,1.0,1.0
265,1.1071383953094482,33,-1.0,1.1071383953094482,33,1.0,0.0,1.0
266,1.0552849769592285,32,1.0,1.0552849769592285,32,-1.0,1.0,0.0
267,1.7672030925750732,53,1.0,1.7672030925750732,53,-1.0,1.0,1.0
268,1.7717571258544922,53,1.0,1.7717571258544922,53,-1.0,1.0,1.0
269,1.103736400604248,33,1.0,1.103736400604248,33,-1.0,1.0,0.0
270,1.7667756080627441,53,1.0,1.7667756080627441,53,-1.0,1.0,1.0
271,0.39179325103759766,12,-1.0,0.3907961845397949,12,1.0,0.0,0.0
272,1.7730519771575928,53,1.0,1.7730519771575928,53,-1.0,1.0,1.0
273,1.766906499862671,53,1.0,1.766906499862671,53,-1.0,1.0,1.0
274,0.3902578353881836,12,-1.0,0.3902578353881836,12,1.0,0.0,0.0
275,1.1058127880096436,33,1.0,1.1058127880096436,33,-1.0,1.0,0.0
276,1.0892164707183838,33,1.0,1.090214490890503,33,-1.0,1.0,0.0
277,0.40754103660583496,12,-1.0,0.40754103660583496,12,1.0,0.0,0.0
278,1.7687513828277588,53,-1.0,1.7687513828277588,53,1.0,1.0,1.0
279,1.7669134140014648,53,1.0,1.7669134140014648,53,-1.0,1.0,1.0
280,1.1070096492767334,33,1.0,1.1070096492767334,33,-1.0,1.0,0.0
281,1.7711868286132812,53,1.0,1.7711868286132812,53,-1.0,1.0,1.0
